Property Type,Price (Per Annum),Location
1 bedroom flat / apartment for rent,"₦3,000,000","Area 1 Shopping Center, Garki, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Gilmore, Jahi, Abuja"
1 bedroom flat / apartment for rent,"₦4,000,000","Jabi Main(tarred Rd), Jabi, Abuja"
3 bedroom flat / apartment for rent,"₦41,000,000","Jabi, Abuja"
2 bedroom house for rent,"₦30,000,000","(fully Tarred Rd) Jahi Gilmore, Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
4 bedroom semi-detached duplex for rent,"₦8,000,000","Life Camp, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Guzape District, Abuja"
4 bedroom flat / apartment for rent,"₦40,000,000","Maitama District, Abuja"
2 bedroom house for rent,"₦8,000,000","Naf Valley Estate, Asokoro District, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","Area 2, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Idu Industrial, Abuja"
5 bedroom semi-detached duplex for rent,"₦40,000,000","Guzape Main, Guzape District, Abuja"
3 bedroom terraced duplex for rent,"₦30,000,000","Asokoro Main, Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","By Old Secteriat, Durumi, Abuja"
2 bedroom flat / apartment for rent,"₦18,000,000","Wuse 2, Abuja"
Office space for rent,"₦4,000,000","Wuse 2, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Mabushi, Abuja"
2 bedroom flat / apartment for rent,"₦12,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","64, Crescent, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Gudu, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Life Camp, Abuja"
3 bedroom terraced duplex for rent,"₦15,000,000","Guzape Main, Guzape District, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Guzape Main, Guzape District, Abuja"
4 bedroom semi-detached duplex for rent,"₦25,000,000","Guzape Main, Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦5,500,000","Galadimawa, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Mabushi, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Jahi, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦1,600,000","Arab Road, Kubwa, Abuja"
3 bedroom detached bungalow for rent,"₦4,000,000","Arab Road, Kubwa, Abuja"
1 bedroom house for rent,"₦2,000,000","Chikakore, Kubwa, Abuja"
3 bedroom flat / apartment for rent,"₦4,000,000","Mabushi, Abuja"
Self contain (single rooms) for rent,"₦2,500,000","Durumi, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","News Engineering, Dawaki, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦40,000,000","Maitama Main, Maitama District, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Jahi, Abuja"
3 bedroom terraced duplex for rent,"₦25,000,000","Zone 2, Wuse, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Guzape District, Abuja"
5 bedroom semi-detached duplex for rent,"₦30,000,000","Guzape District, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Estate By The Express, Lokogoma District, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Garki, Abuja"
2 bedroom flat / apartment for rent,"₦10,000,000","Palm Spring, Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","Wuye, Abuja"
Office space for rent,"₦750,000","Behind Conoil Filling Station, Area 1, Garki, Abuja"
Plaza / complex / mall for rent,"₦7,500,000","Main, Gwarinpa, Abuja"
5 bedroom semi-detached duplex for rent,"₦25,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","Katampe (Main), Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Nut Axis, Lugbe District, Abuja"
1 bedroom flat / apartment for rent,"₦650,000","Maitama District, Abuja"
2 bedroom semi-detached bungalow for rent,"₦5,000,000","Apo, Abuja"
4 bedroom terraced duplex for rent,"₦8,000,000","Kaura, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Katampe Extension, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","Kaura, Abuja"
5 bedroom semi-detached duplex for rent,"₦25,000,000","Guzape District, Abuja"
18 bedroom hotel / guest house for rent,"₦30,000,000","Zone 2, Wuse, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja"
Conference / meeting / training room for rent,"₦350,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
Plaza / complex / mall for rent,"₦8,000,000","Wuse 2, Abuja"
5 bedroom house for rent,"₦25,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Jahi, Abuja"
7 bedroom detached duplex for rent,"₦60,000,000","By Arab, Utako, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","By American International School, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦4,500,000","By Nizamiye Hospital, Karmo, Abuja"
3 bedroom flat / apartment for rent,"₦4,000,000","Mabushi, Abuja"
