Property Type,Price (Per Annum),Location
Plaza / complex / mall for rent,"₦15,000,000","Arab Road, Kubwa, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Wuye Main, Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦28,000,000","Maitama Main, Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","Garki, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Jabi Main, Jabi, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Life Camp, Abuja"
1 bedroom flat / apartment for rent,"₦2,500,000","By Opp. Games Village, Kaura, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Wuye Main, Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Gwarinpa, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Wuse, Abuja"
7 bedroom detached duplex for rent,"₦55,000,000","Jabi Main, Jabi, Abuja"
32 bedroom hotel / guest house for rent,"₦80,000,000","Off Ademola Adetunkubo (tarred Rd), Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
4 bedroom detached duplex for rent,"₦70,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Guzape District, Abuja"
Commercial property for rent,"₦200,000,000","Around Churchgate, Central Business District, Abuja"
5 bedroom detached duplex for rent,"₦90,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","By Ebeano, Gaduwa, Abuja"
3 bedroom flat / apartment for rent,"$35,000","Maitama District, Abuja"
Self contain (single rooms) for rent,"₦2,500,000","Yah Wahab Estate Phase 2, Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦3,000,000","Dawaki, Gwarinpa, Abuja"
Conference / meeting / training room for rent,"₦300,000","Wuse 2, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Wuse, Abuja"
Shop for rent,"₦7,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Wuye Main(tarred Rd), Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Apo Primary/wumba District, Apo, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Off American International School, Durumi, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,500,000","Brick City Estate Phase Ii, Kubwa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦8,000,000","Uptown Apartments, Katampe, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦4,500,000","Brick City Estate, Kubwa, Abuja"
Self contain (single rooms) for rent,"₦3,000,000","Works And Housing Estate, Karu, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦4,500,000","Phase 3, Kubwa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,500,000","Brick City Estate, Kubwa, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Utako, Utako, Abuja"
2 bedroom house for rent,"₦10,000,000","Lugbe District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","Katampe, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Katampe (Main), Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Dawaki, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦3,000,000","Dawaki, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","Katampe (Main), Katampe, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦6,000,000","By Capital Hub, Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦8,000,000","Maitama, Extension Mpape, Maitama 2, Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦30,000,000","Maitama, Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Stella Marris Axis, Life Camp, Abuja"
5 bedroom detached duplex for rent,"₦60,000,000","Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","By American International, Durumi, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","By Lifecamp Junction., Life Camp, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Main, Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","By Gilmore, Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","Idu Industrial, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Life Camp, Abuja"
3 bedroom house for rent,"$30,000","Asokoro Main, Asokoro District, Abuja"
5 bedroom flat / apartment for rent,"₦35,000,000","Kado, Abuja"
5 bedroom detached duplex for rent,"₦75,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","3rd Avenue, Gwarinpa, Abuja"
Plaza / complex / mall for rent,"₦2,500,000","Area 2, Garki, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Rockvale Manor Estate, After  Cedarcrest Hospital, Gudu, Abuja"
3 bedroom house for rent,"₦15,000,000","Foreign Affairs Qautars, Maitama District, Abuja"
5 bedroom house for rent,"₦3,500,000","Arab Road, Kubwa, Abuja"
Plaza / complex / mall for rent,"₦16,500,000","Gwarinpa, Abuja"
Office space for rent,"₦150,000","Zone 5, Wuse, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","FO1 Layout, Kubwa, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","FO1 Layout, Kubwa, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","Kubwa, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Dawaki, Gwarinpa, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
Office space for rent,"₦30,000,000","4th Avenue Main Express Busy Road, Gwarinpa, Abuja"
Office space for rent,"₦12,500,000","69 Road, Gwarinpa, Abuja"
1 bedroom flat / apartment for rent,"₦3,200,000","Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Wuye, Abuja"
Plaza / complex / mall for rent,"₦2,880,000","Jabi, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Katampe, Abuja"
Self contain (single rooms) for rent,"₦1,500,000","Life Camp, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
4 bedroom detached duplex for rent,"₦35,000,000","Kado By Mfm, Mabushi, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Kaura, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Kaura, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja"
Office space for rent,"₦5,000,000","Off Ademola Adetokunbo Crescent, Wuse 2, Abuja"
8 bedroom detached duplex for rent,"₦100,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Wuye, Wuye, Abuja"
Office space for rent,"₦300,000,000","Cbd, Central Business District, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
Office space for rent,"₦360,000,000","Area 11, Garki, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja"
Office space for rent,"₦25,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦20,000,000","No. 16 Oladipo, Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦18,000,000","Oladapo Afolabi Crescent, Jahi, Abuja"
4 bedroom house for rent,"₦18,000,000","Naf Valley Estate, Asokoro District, Abuja"
4 bedroom flat / apartment for rent,"₦40,000,000","Katampe Extension, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe Main, Katampe, Abuja"
Office space for rent,"₦180,000,000","Wuse 2, Abuja"
2 bedroom semi-detached bungalow for rent,"₦4,000,000","Citec, Jabi, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe (Main), Katampe, Abuja"
Commercial property for rent,"₦80,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦8,000,000","Galadimawa, Abuja"
4 bedroom semi-detached duplex for rent,"₦40,000,000","Maitama District, Abuja"
2 bedroom terraced duplex for rent,"₦13,000,000","Katampe (Main), Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","By Living Faith, Katampe (Main), Katampe, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦1,100,000","G.r.a Gbessa Opposite Immigration Hq, Sauka Airport Road, Kyami, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Area 1 Axis., Durumi, Abuja"
3 bedroom flat / apartment for rent,"₦30,000,000","By Shoprite, Jabi, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
Office space for rent,"₦6,000,000","Gaduwa, Abuja"
Self contain (single rooms) for rent,"₦1,500,000","News Engineering, Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","By American International, Durumi, Abuja"
3 bedroom flat / apartment for rent,"₦5,500,000","Gaduwa, Abuja"
Office space for rent,"₦15,000,000","Prime Location, Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Gudu, Abuja"
1 bedroom flat / apartment for rent,"₦2,500,000","Galadimawa, Abuja"
1 bedroom flat / apartment for rent,"₦2,500,000","Mifa Estate, Lokogoma District, Abuja"
Office space for rent,"₦15,477,600","Wuse 2, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","Dawaki District, Dawaki, Gwarinpa, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja"
2 bedroom flat / apartment for rent,"₦3,000,000","Dawaki District, Dawaki, Gwarinpa, Abuja"
Office space for rent,"₦400,000,000","Area 11, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Along Lokogoma Road, Gaduwa, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","By Ceder Crest Hospital, Apo, Abuja"
5 bedroom detached duplex for rent,"₦12,000,000","Gaduwa, Abuja"
4 bedroom detached duplex for rent,"₦11,000,000","Gaduwa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Lokogoma District, Abuja"
4 bedroom terraced duplex for rent,"₦3,000,000","Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,000,000","Lugbe District, Abuja"
Self contain (single rooms) for rent,"₦1,500,000","Von Axis, Lugbe District, Abuja"
Shop for rent,"₦7,000,000","On Ademola Adetokumbo, Wuse 2, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000,000","Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦18,000,000","Zone 6, Wuse, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Wuse 2, Abuja"
Warehouse for rent,"₦70,000","Gudu, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","By Gaat School, Gaduwa, Abuja"
Warehouse for rent,"₦25,000,000","Dei Dei Expressway, Dei-Dei, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Gilmore, Jahi, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Zone 6, Wuse, Abuja"
3 bedroom flat / apartment for rent,"₦40,000,000","Around British Village, Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Area 2, Garki, Abuja"
Office space for rent,"₦5,000,000","Gana Street, Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦25,000,000","By Shoprite, Jabi, Abuja"
3 bedroom terraced duplex for rent,"₦25,000,000","Off Mississippi, Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","By Nut Axis, Lugbe District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦1,500,000","Katampe Extension, Katampe, Abuja"
Office space for rent,"₦35,000,000","Wuse Zone, Wuse, Abuja"
4 bedroom house for rent,"₦9,000,000","Apo, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Jabi, Abuja"
4 bedroom terraced duplex for rent,"₦40,000,000","Lakeview, Jabi, Abuja"
2 bedroom flat / apartment for rent,"₦25,000,000","Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦37,000,000","Wuye, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja"
Commercial property for rent,"₦35,000,000","Jabi, Abuja"
Commercial property for rent,"₦80,000,000","Wuse 2, Abuja"
2 bedroom terraced duplex for rent,"₦9,000,000","Guzape District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,500,000","Apo Dutse By Shoprite Axis ,cedar Crest Hospital, Apo, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Off Ibb Boulevard, Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Aso-drive, Maitama District, Abuja"
4 bedroom semi-detached duplex for rent,"₦27,000,000","Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Kado, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦1,500,000","Kubwa, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Durumi, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","Main, Guzape District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Galadimawa, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Life Camp, Abuja"
1 bedroom flat / apartment for rent,"₦3,500,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦20,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦17,000,000","Utako, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Wuse 2, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","Wuye, Abuja"
6 bedroom detached duplex for rent,"₦35,000,000","Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦17,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape, Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","By Old Secret, Area 1, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦8,500,000","Bilard Estate, Life Camp, Abuja"
Office space for rent,"₦50,000","Off Gudu Electronic Market, Gudu, Abuja"
3 bedroom terraced duplex for rent,"₦15,000,000","Guzape, Guzape District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦1,500,000","Off Gilbert Chikelu Crescent, Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Jabi, Abuja"
4 bedroom detached duplex for rent,"₦20,000,000","Asokoro District, Abuja"
Conference / meeting / training room for rent,"₦100,000","Kumasi Crescent, Wuse 2, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Mabushi, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Nizamiya Hospital Axis, Idu Industrial, Abuja"
4 bedroom semi-detached duplex for rent,"₦9,000,000","River Park Estate Cluster 3, Lugbe District, Abuja"
4 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Brains And Hammers, Galadimawa, Abuja"
3 bedroom terraced duplex for rent,"₦11,000,000","Jabi, Abuja"
4 bedroom semi-detached duplex for rent,"₦9,000,000","Riverpark Estate, Lugbe District, Abuja"
Plaza / complex / mall for rent,"₦7,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦14,000,000","Kukwaba, Abuja"
1 bedroom flat / apartment for rent,"₦2,500,000","Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦20,000,000","Garki, Abuja"
5 bedroom house for rent,"₦25,000,000","Guzape District, Abuja"
5 bedroom semi-detached duplex for rent,"₦60,000,000","Asokoro District, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","Life Camp, Abuja"
4 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Kubwa Extension, FO1 Layout, Kubwa, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Galadimawa, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
5 bedroom detached duplex for rent,"₦50,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja"
Self contain (single rooms) for rent,"₦1,000,000","6th Avenue, Gwarinpa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦7,500,000","Garki, Abuja"
Office space for rent,"₦94,050,000","Gudu, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja"
4 bedroom flat / apartment for rent,"₦7,000,000","FO1 Layout, Kubwa, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Katampe Extension, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","By Games Village, Kaura, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Durumi, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Jabi, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Mabushi, Abuja"
Self contain (single rooms) for rent,"₦1,000,000","Around Charlie Boy 6th Avenue, Gwarinpa, Abuja"
3 bedroom house for rent,"₦12,000,000","Mabushi, Abuja"
